Word,Description
Haley,United States writer and Afro-American who wrote a fictionalized account of tracing his family roots back to Africa (1921-1992)
Halle,a city in the Saxony region of Germany on the Saale River; a member of the Hanseatic League during the 13th and 14th centuries
Halma,a board game in which players try to move their pieces into their opponent's bases
Halon,a compound in which the hydrogen atoms of a hydrocarbon have been replaced by bromine and other halogen atoms; very stable; used in fire extinguishers although it is thought to release bromine that depletes the ozone layer
Halve,divide by two; divide into halves
Haman,(Old Testament) the minister of the Persian emperor who hated the Jews and was hanged for plotting to massacre them
Hamas,a militant Islamic fundamentalist political movement that opposes peace with Israel and uses terrorism as a weapon; seeks to create an Islamic state in place of Israel; is opposed to the PLO and has become a leading perpetrator of terrorist activity in Israel; pioneered suicide bombing
Hammy,affectedly dramatic; overacted
Hands,(with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
Handy,easy to reach
Hanks,United States film actor (born in 1956)
Hanky,a square piece of cloth used for wiping the eyes or nose or as a costume accessory
Hanoi,the capital city of Vietnam; located in North Vietnam
Haoma,leafless East Indian vine; its sour milky juice formerly used to make an intoxicating drink
Haply,by accident
Happy,well expressed and to the point
Hardy,invulnerable to fear or intimidation
Harem,living quarters reserved for wives and concubines and female relatives in a Muslim household
Harpo,United States comedian; one of four brothers who made motion pictures together (1893-1964)
Harpy,large black-and-white crested eagle of tropical America
Harry,"make a pillaging or destructive raid on (a place), as in wartimes"
Harsh,sharply disagreeable; rigorous
Harte,United States writer noted for his stories about life during the California gold rush (1836-1902)
Hasek,Czech author of novels and short stories (1883-1923)
Hasid,a member of a Jewish sect that observes a form of strict Orthodox Judaism
Haste,the act of moving hurriedly and in a careless manner
Hasty,excessively quick
Hatch,a movable barrier covering a hatchway
Hated,treated with contempt
Hater,a person who hates
Haulm,stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding
Haunt,a frequently visited place
Hausa,the chief member of the Chadic family of Afroasiatic languages; widely used as a trading language
Havel,Czech dramatist and statesman whose plays opposed totalitarianism and who served as president of Czechoslovakia from 1989 to 1992 and president of the Czech Republic since 1993 (born in 1936)
Haven,a shelter serving as a place of safety or sanctuary
Havoc,violent and needless disturbance
Hawse,the hole that an anchor rope passes through
Haydn,the music of Haydn
Hayek,English economist (born in Austria) noted for work on the optimum allocation of resources (1899-1992)
Hayes,19th President of the United States; his administration removed federal troops from the South and so ended the Reconstruction Period (1822-1893)
Hayti,an island in the West Indies
Hazan,the official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos
Hazel,of a light brown or yellowish brown color
Heady,marked by defiant disregard for danger or consequences; ; -Macaulay
Heaps,very much
Heard,detected or perceived by the sense of hearing
Heart,a playing card in the major suit that has one or more red hearts on it
Heath,a tract of level wasteland; uncultivated land with sandy soil and scrubby vegetation
Heave,throwing something heavy (with great effort)
Heavy,in an advanced stage of pregnancy
Hebei,a populous province in northeastern China
Hecht,United States writer of stories and plays (1894-1946)
Hedge,a fence formed by a row of closely planted shrubs or bushes
Hefty,large in amount or extent or degree
Hegel,German philosopher whose three stage process of dialectical reasoning was adopted by Karl Marx (1770-1831)
Heinz,United States industrialist who manufactured and sold processed foods (1844-1919)
Heist,robbery at gunpoint
Hejaz,a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia
Helen,(Greek mythology) the beautiful daughter of Zeus and Leda who was abducted by Paris; the Greek army sailed to Troy to get her back which resulted in the Trojan War
Helix,type genus of the family Helicidae
Hello,an expression of greeting
Helot,(Middle Ages) a person who is bound to the land and owned by the feudal lord
Helve,the handle of a weapon or tool
Hemal,relating to the blood vessels or blood
Hemic,relating to or containing or affecting blood
Hemin,a reddish-brown chloride of heme; produced from hemoglobin in laboratory tests for the presence of blood
Hence,(used to introduce a logical conclusion) from that fact or reason or as a result
Henna,a reddish brown dye used especially on hair
Henry,United States physicist who studied electromagnetic phenomena (1791-1878)
Herat,a city in northwestern Afghanistan on the site of several ancient cities
Herod,king of Judea who (according to the New Testament) tried to kill Jesus by ordering the death of all children under age two in Bethlehem (73-4 BC)
Heron,grey or white wading bird with long neck and long legs and (usually) long bill
Hertz,German physicist who with James Franck proved the existence of the stationary energy states postulated by Bohr (1887-1975)
Hesse,Swiss writer (born in Germany) whose novels and poems express his interests in eastern spiritual values (1877-1962)
Hevea,small genus of South American trees yielding latex
Hewer,a person who hews
Hexad,the cardinal number that is the sum of five and one
Hexed,(usually used colloquially) causing or accompanied by misfortune
Heyse,German writer (1830-1914)
Hijab,the custom in some Islamic societies of women dressing modestly outside the home
Hijaz,a coastal region of the western Arabian Peninsula bordering on the Red Sea; includes both Mecca and Medina; formerly an independent kingdom until it united with Nejd to form the Kingdom of Saudi Arabia
Hiker,a foot traveler; someone who goes on an extended walk (for pleasure)
Hilar,of or relating to or located near a hilum
Hilly,having hills and crags
Hilum,(anatomy) a depression or fissure where vessels or nerves or ducts enter a bodily organ
Hilus,(anatomy) a depression or fissure where vessels or nerves or ducts enter a bodily organ
Hindi,of or relating to or supporting Hinduism
Hindu,of or relating to or supporting Hinduism
Hinge,a joint that holds two parts together so that one can swing relative to the other
Hinny,hybrid offspring of a male horse and a female donkey or ass; usually sterile
Hippo,massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
Hippy,someone who rejects the established culture; advocates extreme liberalism in politics and lifestyle
Hired,hired for the exclusive temporary use of a group of travelers
Hirer,a person responsible for hiring workers
Hitch,the uneven manner of walking that results from an injured leg
Hives,an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs
